Sample.ID,Group,Sample,Easting,Northing,pH.field,EC.field,NO3-N,PO4-P,SO4-S,Chloride (Cl-),Al,As,B,Ba,Ca,Ce,Cr,Cu,Fe,K,La,Mg,Mn,Na,Ni,P,Pb,S,Si,Sr,Zn
ENVT_wat_A01,1,1,391398,6466426,6.58,841,0.00837,0.8008,30.688,147.146,NA,NA,0.02,0.1,43.36,NA,NA,NA,0.12,6.12,NA,16.7,0.02,91.23,NA,0.14,NA,29.66,3.97,0.21,0.69
ENVT_wat_A02,1,2,391393,6466428,6.69,895,0.8889,0.2588,33.954,154.932,NA,NA,0.02,0.11,44.51,NA,NA,NA,0.08,6.47,NA,19.22,0.02,97.88,NA,0.05,NA,32.35,4.18,0.22,0.29
ENVT_wat_A03,2,1,391343,6466494,6.3,1110,0.796,0.014,0.796,185.242,NA,NA,0.01,0.18,45.15,NA,NA,NA,0.39,6.91,NA,25.07,0.02,105.53,NA,0.04,NA,46.13,4.3,0.23,0.01
ENVT_wat_A04,2,2,391338,6466467,6.56,1023,0.663,0,0.663,157.086,NA,NA,0.02,0.17,46.03,NA,NA,NA,0.06,6.73,NA,20.57,0.02,100.97,NA,NA,NA,33.48,4.21,0.23,0.01
ENVT_wat_A05,3,1,391383,6466426,6.93,905,0.183954619,0.31376691,34.61685824,484.529,NA,NA,0.06,0.07,72.78,NA,NA,NA,0.03,5.67,NA,5.57,0.1,69.64,0,0.08,NA,18.22,5.95,0.32,0.02
ENVT_wat_A06,3,2,391383,6466424,6.6,928,0.173149649,0.5480692,111.3409962,611.109,NA,NA,0.02,0.1,49.23,NA,NA,NA,0.03,6.69,NA,17.45,0.02,94.68,NA,NA,NA,32.27,4.07,0.23,0.01
ENVT_wat_A07,4,1,391380,6466434,6.83,864,,0.006,,,NA,NA,0.02,0.11,47.71,NA,NA,NA,0.07,6.89,NA,18.66,0.02,98.58,NA,NA,NA,32.86,4.18,0.23,0.03
ENVT_wat_A08,4,2,391341,6466475,6.68,906,,0.005,,,NA,NA,0.02,0.12,45.93,NA,NA,NA,0.07,7.16,NA,21.14,0.02,101.49,0,0.03,NA,33.9,4.17,0.23,0.03
ENVT_wat_A09,5,furthest,391394,6466405,6.89,940,0.232,0.0055,31.491,146.852,NA,NA,0.02,0.12,46.23,NA,NA,NA,0.1,6.92,NA,17.28,0.02,95.69,NA,0.01,NA,31.51,4.17,0.22,0.02
ENVT_wat_A10,5,closest,391400,6466404,7.01,853,0.251,0.0055,32.476,146.656,NA,NA,0.02,0.13,46.65,NA,NA,NA,0.14,7.1,NA,17.88,0.02,96.19,0,NA,NA,31.62,4.2,0.22,0.02
ENVT_wat_B01,6,1,391393,6466417,6.74,850,0.0036,0.000358,31.395,165.949,NA,NA,0.02,0.25,46.66,NA,NA,NA,0.34,7.08,NA,17.48,0.02,96.53,NA,NA,NA,31.58,4.16,0.22,0.01
ENVT_wat_B02,6,2,391387,6466412,6.91,853,0.00161,NA,35.778,147.146,NA,NA,0.02,0.24,45.94,NA,NA,NA,0.06,7.16,NA,18.44,0.02,97.15,NA,NA,NA,32.36,4.23,0.22,0.01
ENVT_wat_B03,7,A,391355,6466430,6.52,990,0.5737,0.0029,,146.852,NA,NA,0.03,0.33,43.9,NA,NA,NA,0.11,7.14,NA,18.4,0.02,97.91,NA,NA,NA,31.23,4.15,0.21,0.02
ENVT_wat_B04,7,B,391354,6466430,6.48,1005,0.3927,0.0036,,151.357,NA,NA,0.03,0.36,43.69,NA,NA,NA,0.1,7.24,NA,18.39,0.02,97.97,NA,NA,NA,31.49,4.17,0.21,0.01
ENVT_wat_B05,8,1,391385,6466467,,,0.373,0.01,27.86009,136.52,NA,NA,0.04,0.08,68.05,NA,NA,NA,0.05,9.05,NA,11.61,0.02,92.32,NA,0.02,NA,31.35,4.79,0.24,0.01
ENVT_wat_B06,8,2,391377,6466450,,,0.667,0.003,32.82483,146.607,NA,NA,0.02,0.1,48.11,NA,NA,NA,0.05,7.4,NA,18.01,0.02,95.58,NA,NA,NA,32.46,4.11,0.23,0.01
ENVT_wat_B07,9,1,391380,6466442,6.73,809,0.796,0.0014,30.818,146.745,NA,NA,0.02,0.1,44.46,NA,NA,NA,0.12,8.13,NA,17.86,0.02,95.66,NA,0.03,NA,30.91,4.34,0.21,0.07
ENVT_wat_B08,9,2,391384,6466409,6.8,846,0.663,0.001,35.106,146.51,NA,NA,0.02,0.1,45.78,NA,NA,NA,0.06,7.55,NA,18.81,0.02,97.63,NA,0.02,NA,32.64,4.18,0.22,0.07
ENVT_wat_B09,11,1,391337,6466422,6.9,770,,0.011,,117.276,NA,0.01,0.08,0.37,58.34,NA,NA,NA,0.81,10.4,NA,8.09,0.01,76.52,NA,0.01,NA,14.66,4.21,0.25,0.02
ENVT_wat_B10,11,2,391337,6466431,6.51,711,,0.012,,,NA,NA,0.09,0.48,38.54,NA,NA,NA,1.26,7.8,NA,9.89,0.02,77.98,0,0.03,NA,23.53,3.57,0.17,0.03
ENVT_wat_C01,12,1,391389,6466501,6.94,788,1.493517,0.00523,32.19958,146.265,NA,NA,0.02,0.13,61.34,NA,NA,NA,0.04,8.1,NA,16.38,0.02,96.91,NA,0.02,NA,34.74,4.09,0.29,0.07
ENVT_wat_C02,12,2,391389,6466498,7.25,836,1.385467,0.00594,36.64891,146.41,NA,NA,0.03,0.13,65.85,NA,NA,NA,0.11,8.08,NA,16.8,0.02,98.18,0,0.02,NA,37.51,4.19,0.3,0.07
